timestamp,hostname,process_name,process_id,event_type,file_path
2025-09-18T10:00:00,DESKTOP-A,svchost.exe,1521,read,C:\Users\user\Documents\doc30.docx
2025-09-18T10:00:00,DESKTOP-A,winword.exe,1461,read,C:\Users\user\Documents\doc29.docx
2025-09-18T10:00:00,DESKTOP-A,explorer.exe,1326,read,C:\Users\user\Documents\doc22.docx
2025-09-18T10:00:00,DESKTOP-A,svchost.exe,1741,read,C:\Users\user\Documents\doc38.docx
2025-09-18T10:00:00,DESKTOP-A,chrome.exe,1666,read,C:\Users\user\Documents\doc16.docx
2025-09-18T10:00:00,DESKTOP-A,explorer.exe,1732,read,C:\Users\user\Documents\doc10.docx
2025-09-18T10:00:00,DESKTOP-A,winword.exe,1367,read,C:\Users\user\Documents\doc31.docx
2025-09-18T10:00:00,DESKTOP-A,chrome.exe,1195,read,C:\Users\user\Documents\doc26.docx
2025-09-18T10:00:00,DESKTOP-A,chrome.exe,1798,read,C:\Users\user\Documents\doc24.docx
2025-09-18T10:00:00,DESKTOP-A,chrome.exe,1940,read,C:\Users\user\Documents\doc26.docx
2025-09-18T10:00:00,DESKTOP-A,svchost.exe,1684,read,C:\Users\user\Documents\doc1.docx
2025-09-18T10:00:00,DESKTOP-A,explorer.exe,1474,read,C:\Users\user\Documents\doc8.docx
2025-09-18T10:00:00,DESKTOP-A,winword.exe,1908,read,C:\Users\user\Documents\doc23.docx
2025-09-18T10:00:00,DESKTOP-A,chrome.exe,1599,read,C:\Users\user\Documents\doc45.docx
2025-09-18T10:00:00,DESKTOP-A,winword.exe,1354,read,C:\Users\user\Documents\doc17.docx
2025-09-18T10:00:00,DESKTOP-A,chrome.exe,1179,read,C:\Users\user\Documents\doc3.docx
2025-09-18T10:00:00,DESKTOP-A,chrome.exe,1304,read,C:\Users\user\Documents\doc22.docx
2025-09-18T10:00:00,DESKTOP-A,explorer.exe,1162,read,C:\Users\user\Documents\doc15.docx
2025-09-18T10:00:00,DESKTOP-A,chrome.exe,1665,read,C:\Users\user\Documents\doc38.docx
2025-09-18T10:00:00,DESKTOP-A,explorer.exe,1173,read,C:\Users\user\Documents\doc45.docx
2025-09-18T10:00:00,DESKTOP-A,svchost.exe,1035,read,C:\Users\user\Documents\doc17.docx
2025-09-18T10:00:00,DESKTOP-A,winword.exe,1464,read,C:\Users\user\Documents\doc46.docx
2025-09-18T10:00:00,DESKTOP-A,winword.exe,1203,read,C:\Users\user\Documents\doc1.docx
2025-09-18T10:00:00,DESKTOP-A,chrome.exe,1089,read,C:\Users\user\Documents\doc24.docx
2025-09-18T10:00:00,DESKTOP-A,chrome.exe,1158,read,C:\Users\user\Documents\doc36.docx
2025-09-18T10:00:00,DESKTOP-A,winword.exe,1627,read,C:\Users\user\Documents\doc3.docx
2025-09-18T10:00:00,DESKTOP-A,svchost.exe,1474,read,C:\Users\user\Documents\doc3.docx
2025-09-18T10:00:00,DESKTOP-A,winword.exe,1517,read,C:\Users\user\Documents\doc46.docx
2025-09-18T10:00:00,DESKTOP-A,svchost.exe,1833,read,C:\Users\user\Documents\doc29.docx
2025-09-18T10:00:00,DESKTOP-A,svchost.exe,1162,read,C:\Users\user\Documents\doc27.docx
2025-09-18T10:00:00,DESKTOP-A,winword.exe,1347,read,C:\Users\user\Documents\doc8.docx
2025-09-18T10:00:00,DESKTOP-A,chrome.exe,1452,read,C:\Users\user\Documents\doc47.docx
2025-09-18T10:00:00,DESKTOP-A,explorer.exe,1923,read,C:\Users\user\Documents\doc10.docx
2025-09-18T10:00:00,DESKTOP-A,chrome.exe,1397,read,C:\Users\user\Documents\doc18.docx
