timestamp,hostname,process_name,process_id,dest_ip,bytes_sent,bytes_received,duration
2025-09-18T10:01:00,DESKTOP-A,winword.exe,1702,8.8.8.8,1194,1831,1.292397040432561
2025-09-18T10:01:00,DESKTOP-A,explorer.exe,1508,8.8.8.8,142,19892,9.487176375466701
2025-09-18T10:01:00,DESKTOP-A,svchost.exe,1122,8.8.8.8,995,7859,3.6495624268589006
2025-09-18T10:01:00,DESKTOP-A,chrome.exe,1551,8.8.8.8,1442,16829,5.133433916452627
2025-09-18T10:01:00,DESKTOP-A,winword.exe,1424,8.8.8.8,1405,13514,7.499980075694477
2025-09-18T10:01:00,DESKTOP-A,svchost.exe,1978,8.8.8.8,53,9644,7.294990801368889
2025-09-18T10:01:00,DESKTOP-A,svchost.exe,1624,8.8.8.8,387,4447,3.8705771650817704
2025-09-18T10:01:00,DESKTOP-A,winword.exe,1865,8.8.8.8,890,3796,6.2185974925045056
2025-09-18T10:01:00,DESKTOP-A,svchost.exe,1790,8.8.8.8,555,10466,3.784340630286141
2025-09-18T10:01:00,DESKTOP-A,explorer.exe,1740,8.8.8.8,683,11537,4.479435132204674
2025-09-18T10:01:00,DESKTOP-A,svchost.exe,1294,8.8.8.8,1111,1121,4.209954195533649
2025-09-18T10:01:00,DESKTOP-A,explorer.exe,1741,8.8.8.8,628,13746,1.5498484345896446
2025-09-18T10:01:00,DESKTOP-A,chrome.exe,1603,8.8.8.8,555,12617,6.5433177919175085
2025-09-18T10:01:00,DESKTOP-A,svchost.exe,1350,8.8.8.8,171,13303,9.7146495354085
2025-09-18T10:01:00,DESKTOP-A,chrome.exe,1114,8.8.8.8,245,19140,2.7292237350230963
2025-09-18T10:01:00,DESKTOP-A,svchost.exe,1303,8.8.8.8,1410,17348,2.4693727429081695
2025-09-18T10:01:00,DESKTOP-A,winword.exe,1354,8.8.8.8,491,4012,6.471381502013563
2025-09-18T10:01:00,DESKTOP-A,svchost.exe,1542,8.8.8.8,685,14927,9.916707654356161
2025-09-18T10:01:00,DESKTOP-A,chrome.exe,1249,8.8.8.8,143,7307,5.606547309363615
2025-09-18T10:01:00,DESKTOP-A,explorer.exe,1322,8.8.8.8,1179,19181,8.004766155398887
2025-09-18T10:01:00,DESKTOP-A,explorer.exe,1319,8.8.8.8,826,14270,9.717611671015137
2025-09-18T10:01:00,DESKTOP-A,explorer.exe,1773,8.8.8.8,574,5789,7.868490709107025
2025-09-18T10:01:00,DESKTOP-A,explorer.exe,1230,8.8.8.8,644,17346,1.3976752583416983
2025-09-18T10:01:00,DESKTOP-A,winword.exe,1678,8.8.8.8,361,19725,1.8431074998166745
2025-09-18T10:01:00,DESKTOP-A,svchost.exe,1584,8.8.8.8,1119,8702,8.041363874728097
2025-09-18T10:01:00,DESKTOP-A,explorer.exe,1936,8.8.8.8,254,10277,7.0568112866808335
2025-09-18T10:01:00,DESKTOP-A,winword.exe,1554,8.8.8.8,950,3379,9.673045077438216
2025-09-18T10:01:00,DESKTOP-A,winword.exe,1480,8.8.8.8,307,10238,1.055401084844085
2025-09-18T10:01:00,DESKTOP-A,svchost.exe,1436,8.8.8.8,1433,11015,1.4229280178628114
2025-09-18T10:01:00,DESKTOP-A,explorer.exe,1725,8.8.8.8,1058,5363,5.1850521824390166
2025-09-18T10:01:00,DESKTOP-A,chrome.exe,1924,8.8.8.8,992,11687,2.0633444489572184
2025-09-18T10:01:00,DESKTOP-A,explorer.exe,1160,8.8.8.8,1127,15898,3.9293320994652245
2025-09-18T10:01:00,DESKTOP-A,chrome.exe,1665,8.8.8.8,464,8018,3.3665619599854484
2025-09-18T10:01:00,DESKTOP-A,winword.exe,1701,8.8.8.8,470,15521,6.432694074056016
2025-09-18T10:01:00,DESKTOP-A,chrome.exe,1617,8.8.8.8,1307,10159,5.491624785172499
2025-09-18T10:01:00,DESKTOP-A,winword.exe,1787,8.8.8.8,838,15113,3.123454771023333
2025-09-18T10:01:00,DESKTOP-A,explorer.exe,1546,8.8.8.8,209,11701,6.555764583756186
2025-09-18T10:01:00,DESKTOP-A,winword.exe,1831,8.8.8.8,779,13069,4.227798056349522
2025-09-18T10:01:00,DESKTOP-A,explorer.exe,1439,8.8.8.8,1289,14851,4.500508872826437
2025-09-18T10:01:00,DESKTOP-A,winword.exe,1280,8.8.8.8,931,10428,5.7167923822018905
2025-09-18T10:01:00,DESKTOP-A,svchost.exe,1576,8.8.8.8,1083,7946,9.929423680013805
2025-09-18T10:01:00,DESKTOP-A,winword.exe,1925,8.8.8.8,1037,10522,1.9355875210267346
2025-09-18T10:01:00,DESKTOP-A,explorer.exe,1704,8.8.8.8,1448,13867,9.757419051159134
2025-09-18T10:01:00,DESKTOP-A,chrome.exe,1935,8.8.8.8,647,13616,6.279647236326663
2025-09-18T10:01:00,DESKTOP-A,explorer.exe,1571,8.8.8.8,126,9739,5.050902939311648
